pointid,grid_code,Slope,Soil_depth,Curvature,Row,Col
76,5.550426483154297,2.139068886182204,2.8836815838234546,0.0012629124493496304,6,69
77,4.221851348876953,3.141031338601728,2.8875876335709374,0.005647806699863873,6,70
78,6.427172660827637,5.824785821755386,2.8811039244216246,0.005338695577007969,6,71
79,8.357288360595703,4.887100851664491,2.875429327820212,0.002985632031666024,6,72
80,7.302734375,2.907748395174307,2.878529747377126,0.003578360439358247,6,73
81,6.902601718902588,0.18029086749135786,2.8797061490874882,0.0017564759936301538,6,74
82,7.147340297698975,1.0051632959460197,2.8789866105087185,-0.00046059226682305785,6,75
83,6.500248908996582,0.7437907470462188,2.880889078114974,-0.00026729320745792225,6,76
84,7.142717361450195,1.1683363300927625,2.8790002020764827,-0.0007169565956429052,6,77
85,5.466641426086426,2.1420810750150454,2.8839279143414354,0.0006738005721197925,6,78
86,4.996451377868652,1.50841153670263,2.8853102868333824,0.0009518749449811971,6,79
87,5.47861909866333,1.6156567258336263,2.8838926996337855,-7.316339691404458e-05,6,80
88,5.377424716949463,1.4922022806674495,2.8841902140753417,3.7386382594365685e-05,6,81
89,4.948841571807861,0.548522095450941,2.8854502610554973,0.0005060151725869708,6,82
90,5.5630903244018555,1.433349962011577,2.883644351759847,0.00038229108320250293,6,83
91,6.089379787445068,2.1428747638992083,2.8820970453477477,0.00012886146879345626,6,84
92,7.772212982177734,1.690767928525354,2.8771494665426416,-0.0019655317649257434,6,85
93,7.806544303894043,1.0744856928370856,2.877048531452814,-0.0030057660379467664,6,86
94,3.7473528385162354,4.313201938251912,2.888982673067581,-0.00020803196109148918,7,52
95,4.7462334632873535,4.6049166480642905,2.886045934819597,0.0017551959932848062,7,53
96,3.990382671356201,8.50168927638969,2.8882681582518934,0.006441528594113881,7,54
97,5.315217018127441,7.227634444031914,2.8843731065290736,0.005587875992137351,7,55
98,7.476108074188232,1.759837320806218,2.878020023631391,0.0003016034076355632,7,56
99,5.804232120513916,2.929086339640261,2.8829353878273527,0.0008352143449865668,7,57
100,4.5959391593933105,0.8136097542200156,2.886487804468236,0.00281770339917135,7,58
101,6.2446794509887695,3.8697598885297197,2.8816404597953627,0.00019064565177609566,7,59
102,8.588574409484863,1.8864150324375086,2.8747493400727735,-0.0033162188667225775,7,60
103,8.120211601257324,3.254322458423904,2.8761263404257136,-0.002674316207324324,7,61
104,5.218861103057861,3.7371965541909358,2.8846563957372,0.0015099910735004033,7,62
105,4.592334270477295,3.350532664273984,2.88649840294707,0.0031897160578781797,7,63
106,4.633856773376465,5.81602981359513,2.886376325574267,0.0041772543132875374,7,64
107,5.366946220397949,8.242946641829482,2.8842210211616353,0.0059094329053685545,7,65
108,5.699734687805176,8.72196043963352,2.883242613335428,0.005786327229388102,7,66
109,6.97005033493042,5.643110599291714,2.8795078481839065,0.003213695292179827,7,67
110,6.621283531188965,2.8802767785204457,2.880533232786205,0.0017312241582214717,7,68
